Job 211: Waiting time = 7.65267067309469 | Resolution time = 0.0007556593045592308 | Resolution type = None
Job 212: Waiting time = 7.435098777059466 | Resolution time = 0.0006401538848876953 | Resolution type = None
Job 213: Waiting time = 7.233395108021796 | Resolution time = 0.0006536431610584259 | Resolution type = None
Job 214: Waiting time = 7.015822746325284 | Resolution time = 0.0006709829904139042 | Resolution type = None
Job 215: Waiting time = 6.8038650010712445 | Resolution time = 0.0006196172907948494 | Resolution type = None
Job 216: Waiting time = 6.591456627938896 | Resolution time = 0.0006171739660203457 | Resolution type = None
Job 217: Waiting time = 6.378882825840265 | Resolution time = 0.0005997372791171074 | Resolution type = None
Job 218: Waiting time = 6.167415289208293 | Resolution time = 0.0005771839059889317 | Resolution type = None
Job 219: Waiting time = 5.975962138734758 | Resolution time = 0.0006450009532272816 | Resolution type = None
Job 220: Waiting time = 5.784389553591609 | Resolution time = 0.0006474992260336876 | Resolution type = None
Job 221: Waiting time = 5.578935403376818 | Resolution time = 0.0006471741944551468 | Resolution type = None
Job 222: Waiting time = 5.380580855999142 | Resolution time = 0.0005494756624102592 | Resolution type = None
Job 223: Waiting time = 5.18747025122866 | Resolution time = 0.0005744374357163906 | Resolution type = None
Job 224: Waiting time = 4.993438556324691 | Resolution time = 0.0005371100269258022 | Resolution type = None
Job 225: Waiting time = 4.796549313236028 | Resolution time = 0.0005296343006193638 | Resolution type = None
Job 226: Waiting time = 4.581356417853385 | Resolution time = 0.0006770193576812744 | Resolution type = None
Job 227: Waiting time = 4.338658516295254 | Resolution time = 0.0006417888216674328 | Resolution type = None
Job 228: Waiting time = 4.108036796096712 | Resolution time = 0.0005676131695508957 | Resolution type = None
Job 229: Waiting time = 3.902013071347028 | Resolution time = 0.0005451859906315804 | Resolution type = None
Job 230: Waiting time = 3.7168139908462763 | Resolution time = 0.0005553239025175571 | Resolution type = None
Job 231: Waiting time = 3.5071650752797723 | Resolution time = 0.0006034146063029766 | Resolution type = None
Job 232: Waiting time = 3.3028384889476 | Resolution time = 0.0006487569771707058 | Resolution type = None
Job 233: Waiting time = 3.1187157570384443 | Resolution time = 0.0006349515169858932 | Resolution type = None
Job 234: Waiting time = 2.9239078578539193 | Resolution time = 0.0005954490043222904 | Resolution type = None
Job 235: Waiting time = 2.724972974974662 | Resolution time = 0.000604662112891674 | Resolution type = None
